0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Cluster
67325.30589,66696.12198,66741.23255,66564.41059,65995.39825,65774.69054,65298.53763,65061.75576,65403.84207,64656.60173,64537.45634,63731.29014,62632.03409,61907.24475,59850.97827,59172.80832,4
59069.91194,60281.45702,60552.46138,62231.07868,62385.27586,63310.68965,63671.40925,63958.93019,64155.65482,64720.34154,64862.12853,65411.71709,66061.44161,66762.33088,67494.04294,68422.42394,4
69374.75143,70242.76944,70487.45295,70858.16515,69724.28797,69895.78447,70879.76483,71714.07787,72232.57967,73209.86038,73910.80938,75044.3979,74965.36078,74977.43516,74815.23829,74408.54149,4
74054.70047,74149.69378,73993.3848,73766.34641,73988.65887,74252.57958,73456.01753,73106.61105,72964.42233,72463.69315,72069.82541,71237.82738,69944.11334,69135.67349,67838.59442,67190.24782,4
72411.42297,73629.69856,74251.5594,74907.81974,73219.4779,72726.83702,72561.86742,72972.47534,73440.98089,74050.75348,73984.7963,74461.54955,73970.20773,73758.39301,73268.85751,72179.04847,5
54847.79412,56576.84783,57269.3773,58019.84378,58070.75774,57676.92878,58360.67543,59175.74394,59713.07451,60242.35221,60224.65868,60919.81271,61412.53449,61504.36577,61447.81298,60680.02201,2
60687.78599,60621.36841,60860.94446,60846.59986,60696.82674,61067.32162,60762.9493,60459.73476,59459.34592,59452.52944,59195.13299,58480.65977,57330.6763,56466.21849,56005.44597,55274.84004,2
55001.28596,55490.23221,55059.92355,54728.56737,54207.11817,53991.80355,53142.4694,52995.40883,52411.20167,52324.62613,51783.80711,51348.61458,51203.4469,51288.74773,51309.41576,51129.40132,2
49992.70411,51025.5751,51438.62253,52219.82204,52299.45015,52924.55043,53174.84132,53226.66537,53516.92793,54345.83151,54804.21704,55258.43485,56235.39953,56795.2088,57989.53262,58911.89809,2
60745.24107,61297.78748,61234.95879,59959.27198,60641.15133,60317.97101,59602.56951,59663.46359,59629.58063,59531.95022,59342.29388,58706.22475,58630.65928,58628.65399,58156.04055,58215.04798,2
59708.08394,60087.89939,60208.17062,60696.3015,61173.22012,61820.77881,62997.83225,63810.99652,64278.47844,64817.66408,64815.99681,64583.98684,64417.10773,64794.08291,64815.51214,65435.62775,2
57893.11151,59059.09317,59349.01128,60000.90375,60563.39442,61874.49829,62141.3222,62501.66407,62841.58927,62736.15536,63918.12047,64226.64651,65125.47835,66020.02031,66981.32182,67280.22573,2
63194.71742,62876.77376,63231.41876,62832.24477,63363.79903,63145.39254,63007.33399,62280.76854,61887.73665,62240.07406,61426.33859,60766.78882,59034.02909,58123.3478,55878.54944,55238.60667,2
55151.69056,55812.17573,56648.84946,57704.23981,58330.06127,59110.73884,59788.74047,60274.73051,60701.65202,61267.07193,62000.46827,61849.13471,62920.77416,65209.62662,66002.29488,67483.57554,2
